context,decision,predicted_decision
"## Context

* Currently, the images/thumbnails inside the Storefront are not making use of any lazy loading mechanism. 
* Without a third-party extension which includes something like ""lazysizes"" it is not possible to get lazy loading images.
* Native lazy loading of images is available in current browsers, see: https://caniuse.com/?search=loading","## Decision 
## Decision

* Use the native `loading=""lazy""` attribute for images in the Storefront to enable lazy loading without relying on third-party libraries.
* Apply `loading=""lazy""` to all offscreen or below-the-fold image elements (e.g., product thumbnails in listings, category pages, and pagination-based content).
* Ensure that critical above-the-fold images (e.g., hero banners, main product images) use `loading=""eager""` to prevent any render delay.
* This approach leverages built-in browser functionality, improves performance, reduces initial page load time and data usage, and maintains compatibility with existing markup.","## Decision

* We want to make use of native lazy loading for images in the Storefront without adding additional JavaScript logic."
"## Context

When using the `OneToOneAssociationField` & `ManyToOneAssociationField` associations it is possible to specify the parameter `autoload` as `true`. This causes the association to be loaded with every query, regardless of whether the data is used or not.

This is a performance issue due to unnecessary data transfer, it slows down SQL queries with extra joins, slows the application down with hydrating and data processing and finally, API payloads are larger than they need to be.","## Decision 
## Decision

We will deprecate the `autoload` parameter in `OneToOneAssociationField` and `ManyToOneAssociationField`. Loading associations should never be enforced at the definition level, but instead be controlled explicitly by the query criteria using `addAssociation()`.

This change ensures that:
- Performance is improved by eliminating unnecessary joins and data hydration.
- Developers have full control over which associations are loaded, leading to more predictable and optimized queries.
- API responses contain only the requested data, reducing payload size.

Migration path:
1. Remove usage of `autoload => true` in field definitions.
2. Explicitly add required associations via criteria in services, repositories, or API controllers.
3. Update documentation and provide examples for proper association loading.

The feature will be removed in the next major version.","## Decision

We will deprecate the usage of autoload === true in the core codebase in version 6.5. All usages in entity definitions should be removed by the time 6.6 is released.

We have introduced a new PHPStan rule which will check for any usages of autoload === true and fail if it finds any. The failures are currently ignored in the `phpstan.neon.dist` file until they can be fixed by the respective teams."
"## Context
Currently, our ADRs are grouped into folders according to different areas. We have added this structure to help people find their way around when they are looking for specific ADRs.

However, there are different approaches when searching for ADRs:
1) I am looking for an ADR and I know the headline.
2) I would like to read the latest ADRs
3) I would like to see ADRs for a specific area.
4) ...

The structuring by areas is good for case 3, but not for the other two. In the first case, the user can easily use the search via the directory to use the appropriate ADR, but will also get duplicate matches. Depending on the keyword the result can be quite long.

In the second case, I would like to read the latest ADRs, the user would have to go to git history, which is only possible via shell or IDE.","## Decision  
## Decision

We will maintain the current folder structure by area for domain organization and navigational clarity, as it supports focused exploration of ADRs within specific domains.

In parallel, we will introduce a **centralized `README.md`** in the ADR root directory that serves as a dynamic index. This README will be automatically updated and include:

- A **chronological list of all ADRs** (most recent first), showing:  
  - Date (from filename or `Date` field)  
  - Title  
  - Area (inferred from folder or metadata)  
  - Link to the ADR  

- A **searchable table of contents** grouped by area, with links to relevant ADRs.

This setup supports:
- **Case 1 (know the title)**: Use IDE/text search on the centralized README.
- **Case 2 (latest ADRs)**: Read the top entries in the chronological list.
- **Case 3 (specific area)**: Navigate via the grouped section in the README.
- **Future cases**: The README can evolve with filters, tags, or statuses.

Automation:  
A script (e.g. `adr-index`) will regenerate the README on each ADR creation or rename, ensuring consistency.

This decision preserves existing organizational benefits while significantly improving discoverability and access patterns across use cases.","## Decision

We will remove the area structure on directory level and introduce front matter in our ADRs as we already do in our changelog files. This makes it possible to extract metadata from content. Additionally, it can be used as groundwork, if we want to release our ADRs in different front-ends (handbook, dev-docs) and use the front-end's search functionalities.
With front matter and the flat file structure, you can solve all three problems described in this ADR. An example of this specific ADR would be:

```markdown
---
title: Unstructured ADRs
date: 2023-02-23
area: Product Operation #I added prod-ops because this is a workflow topic
tags: [ADR, file structure, workflow]
---
```

We also hope that this will make it easier for people to submit ADRs without being confused about which folder to put the file in."
"## Context
Our current plugin extension system for the administration is based on our Component Factory. This factory generates native Vue components at runtime based on a base Shopware component which can be extended or overwritten by plugins. This approach offers flexibility to plugin developers to modify every component. For the template part, we use Twig.JS and compile the Vue template in the client at runtime.

However, this approach has its drawbacks. We cannot use the full power of Vue and its ecosystem because everything related to Vue is wrapped with our factories and generated at runtime. We cannot use Vue tools without custom modifications, like linting template files, providing good static analysis, and more. The other downside is that upgrading Vue is challenging, and the performance suffers because we cannot precompile components.

To address these issues, we aimed to test a new idea with Vue 3, which includes all the features of the existing plugin approach, but developed using only native Vue tools. This would offer several benefits, like using the full power of Vue, better performance, better static analysis, and more.

Our main idea for the template part was to use native Vue components named sw-block that can replace the Twig.JS template part. Plugin developers can extend or overwrite the sw-block component as needed.

```html
<sw-block name=""sw-hello-world"">
<div>Hello World</div>
</sw-block>
```

For the script and logic part, we aimed to use the Composition API. Before returning all the component data and methods, we would provide a hook point for plugins so they could modify or inject everything they want.

```js
// The original component
<script setup lang=""ts"">
// Hook for providing extensibility
useExtensibility();
</script>

// The plugin component
<script lang=""ts"">
    import SwOrignal from './sw-original.vue';
    // use our extensibility helpers
    import { useComponentExtender, getPropsFromComponent } from 'sw-vue-extensbiles';
    
    const myCustomData = ref('test');
    
    export default {
        name: 'sw-extended-component',
        props: {
            ...getPropsFromComponent(SwOrignal)
        },
        setup(props, context) {
            return {
                ...useComponentExtender(SwOrignal, props, context),
                myCustomData
            }   
        }
}
</script>
```

However, during the evaluation and testing, we realized that this approach was not feasible due to several reasons. The most critical challenges were that it was hard to merge data because the Vue compiler optimizes many parts of the component, and it was not easy to pass all the data of the component to the block system to give plugin developers full access to the original component's data.

To solve these problems, we would need to use internal Vue logic, which is not update-safe and could break with every Vue update.","## Decision  
## Decision

We will not pursue the proposed native Vue-based extension system using `sw-block` and Composition API hooks for the administration in the near term. While the goal of leveraging native Vue features—such as improved performance, better tooling support, and compile-time templates—is valid and desirable, the current technical constraints make this approach infeasible.

The primary challenges identified during prototyping were:

- **Inability to safely merge component state**: Due to Vue’s compilation and reactivity optimizations (especially in `<script setup>`), accessing and merging internal component data, methods, and computed properties from plugins is unreliable without resorting to internal Vue APIs.
- **Fragility of extension mechanisms**: Any solution relying on introspecting or unwrapping compiled composition functions would tightly couple plugin logic to Vue’s internal behavior, making it vulnerable to breaking changes in future Vue updates.
- **Limited access to original component context**: Providing plugin developers full extensibility (e.g., overriding logic, extending templates) requires exposing a stable, well-documented extension interface that does not exist natively in Vue 3 for this use case.

Using internal Vue mechanics to work around these limitations would compromise long-term maintainability and upgradeability—defeating one of the core motivations behind the initiative.

Instead, we will continue with the current Component Factory system for the foreseeable future and focus on incremental improvements such as:
- Better TypeScript integration and documentation for existing extension patterns.
- Improved static analysis and linting within the constraints of runtime component generation.
- Exploring safer, higher-level extension APIs (e.g., dependency injection, composables, configuration objects) that align with Vue best practices and avoid direct component mutation.

A full migration to a native Vue-based extension model may be revisited in the future when either:
1. Vue provides official APIs for component introspection and safe extension, or
2. We can define a constrained, composable architecture that achieves extensibility without requiring deep component merging.

For now, stability, upgrade safety, and ecosystem compatibility take precedence over architectural idealism.","## Decision
After considering the challenges we faced with the proposed solution, we concluded that we couldn't find solutions without using internal Vue logic. Given this situation, we did not see any significant benefits to adopting a native Vue solution over our current plugin system, which, despite its challenges, has proven to work well for our use case.

Therefore, we decided to stick with our current plugin system for the administration until new possibilities arise in Vue that solve our problems."
"## Context
The current workflow for writing technical changelog is not very suited for a trunk based development and branching process. There are some major issues with the current workflow of using one file with a fixed version number:

*  Unnecessary merge conflicts in the changelog file
*  Uncertainty about the correct release version of the change
*  Differences between the issue state in Jira and the code state

To tackle these issues the technique for writing technical changelog and upgrade information, should be changed to a single solution, which is easy to understand and maintain by developers.","## Decision 
## Decision

We will adopt a **per-commit changelog entry** approach using structured changelog fragments, inspired by practices in projects like [Fedora](https://docs.fedoraproject.org/en-US/fedora-developer-guide/changelogs/) and [Towncrier](https://towncrier.readthedocs.io/).

### Chosen Solution:
Each pull request or commit that introduces a user-visible change must include a **changelog fragment file** in a dedicated `changelog/` directory (or similar), named following a convention such as `PR-1234.feature`, `ISSUE-5678.bugfix`, etc.

These fragment files contain a short, plain-text description of the change, written in the present tense, from the user’s perspective. During release preparation, these fragments are automatically aggregated into the final `CHANGELOG.md` for the new version and then removed or archived.

### File types (categories):
- `.feature` – New functionality
- `.bugfix` – Bug fixes
- `.breaking` – Breaking changes (requires special attention)
- `.deprecated` – Features marked for removal
- `.removal` – Removed features
- `.internal` – Internal changes (optional, may not appear in public changelog)

### Rationale:
- ✅ **Eliminates merge conflicts**: Each change has its own file.
- ✅ **Decouples from version number**: Version is assigned at release time; fragments are collected then.
- ✅ **Clear audit trail**: Each changelog entry is tied to a PR/commit.
- ✅ **Automatable**: Scripts can collect, sort, format, and remove fragments during release.
- ✅ **Supports trunk-based development**: Works seamlessly with continuous integration and long-lived main branches.
- ✅ **Improves accuracy**: Reduces risk of forgetting or misclassifying changes.

### Workflow Integration:
- A CI check ensures that any PR with user-facing changes includes a changelog fragment (unless explicitly waived with a label like `skip-changelog`).
- Templates or scripts help developers create fragments easily.
- Release tooling generates the consolidated changelog on tag creation.

This approach aligns with modern DevOps practices and scales well for large teams and frequent releases.","## Decision
The changelog and upgrade files for a release should be autogenerated in the build process of the release. Developers should write technical changelog and upgrade information in separate markdown files."
"## Context

The actions in Flow Builder are listening for Business Events. We want to implement the flow DelayAction in Flow Builder,
that means the actions can be delayed, and will be executed after  a set amount of time.
But we have some problems after the action was delayed:
* Events may contain old data, that data may be updated during the delay, and currently we don't have any way to restore
    the data.
* After a delay the rules have to be re-evaluated, but the data in the rules could be outdated or changed, so the rules
    have to be reloaded as well. Or the rules do not exist anymore.","## Decision 
## Decision

To support delayed execution in the Flow Builder's `DelayAction`, we will adopt an **event-sourcing and rule re-evaluation** approach at the time of execution, rather than relying on stale event data.

When a flow triggers a `DelayAction`:
- The system persists the **intent** to execute the action later, including the flow context, reference to the original business event, and the delay duration.
- Instead of storing potentially stale entity data, only stable identifiers (e.g. entity IDs, event type, version/timestamp) are retained.
- Upon delay completion, the system:
  1. **Re-hydrates the current state** by loading the latest versions of relevant entities via their repositories.
  2. **Re-evaluates all associated rules** within an up-to-date `RuleScope` using current `Context` and `SalesChannelContext`.
  3. **Validates rule definitions** still exist and are active; if not, the action is skipped and a warning is logged.
  4. Proceeds with action execution only if all rules pass with current data.

This ensures that delayed actions operate on accurate, consistent state and prevents side effects based on outdated information. Data integrity is preserved through re-evaluation rather than snapshotting.","## Decision

We would need to detach the Event System and the Flow System from each other, thus removing the dependency on the runtime objects within an event.
Meaning the Actions must not have access to the original Events.

We would create a class `StorableFlow`, that can store the data in the original event as scalar values, and restore the original data based on this stored data.
```php
class StorableFlow
{
    // contains the scalar values based on the original events
    // $store can be serialized and used to restore the object data
    protected array $store = [];
    
    // contains the restored object data like the data we defined in the `availableData` in original events 
    // $data can not be serialized, but can be restored from $store
    protected array $data = [];
      
    public function __construct(array $store = [], array $data = [])
    {
        $this->store = $store;
        $this->data = $data;
    }
    
    // This method will be called in each `Storer` to store the representation of data
    public function setStore(string $key, $value) {
        $this->store[$key] = $value;
    }
    
    public function getStore(string $key) {
        return $this->store[$key];
    }
    
    // After we restored the data in `Storer`, we can set the data, we'll use `$this->data` instead getter data on original event
    public function setData(string $key, $value) {
        $this->data[$key] = $value;
    }
    
    public function getData(string $key) {
        return $this->data[$key];
    }
}
```

The `StorableFlow` class will be use on Flow Builder:

Before:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // Currently, dispatch on Flow Builder use the original event to execute the Flow 
        $this->callFlowExecutor($event);
        ...
    }
}
```

After:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // The `FlowFactory` will create/restore the `StorableFlow` from original event
        $flow = $this->flowFactory->create($event);
        // use the `StorableFlow` to execute the flow builder actions instead of the original events
        $this->execute($flow);
        ...
    }
}
```

* Flow Builder actions may no longer access the original event.
* Each Aware Interface gets its own `Storer` class to restore the data of Aware, so we have many `Storer` like `OrderStorer`, `MailStorer`, `CustomerStorer` ...
* The main task of a `Storer` is to restore the data from a scalar storage.
* The `Storer` provides a store function, in order to store itself the data, in order restore the object
* The `Storer` provides a restore function to restore the object using the store data.

```php
interface FlowStorer {}
```
Example for `OrderStorer`:

```php
class OrderStorer implements FlowStorer
{
    // This function to check the original event is the instanceof Aware interface, and store the representation.
    public function store(FlowEventAware $event, array $storedData): array 
    {
        if ($event instanceof OrderAware) {
            $storedData['orderId'] = $event->getOrderId();
        }
        
        return $storedData;
    }
    
    // This function is restore the data based on representation in `storedData`
    public function restore(StorableFlow $flow): void
    {
        if ($flow->hasStore('orderId')) {
            // allows to provide a closure for lazy data loading
            // this opens the opportunity to have lazy loading for big data
            // When we load the entity, we need to add the necessary associations for each entity
            $flow->lazy('order', [$this, 'load']);    
        }
        ...
    }
}
```

About the additional data defined in `availableData` in original events, that aren't defined in any Aware Interfaces and we can't restore that data in the `Storer`.
To cover the additional data from original events, we will have another `store` `AdditionalStorer` to store those data.
```php
class AdditionalStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $storedData)
    {
        ...
        // based on the `getAvailableData` in the original event to get the type of additional data
        $additionalDataTypes = $event::getAvailableData()->toArray();
        
        foreach ($additionalDataTypes as $key => $eventData) {
            // Check if the type of data is Entity or EntityCollection
            // in the $storedData, we only store the presentation like ['id' => id, 'entity' => entity], we'll restore the data in `AdditionalStorer::restore`
            if ($eventData['type'] === 'Entity' || 'EntityCollection') {
                $storedData[$key] = [
                    'id' => $event->getId(),
                    'entity' => Entity                 
                ];
            }
            
            // Check if the type of data is ScalarValueType
            if ($eventData['type'] === ScalarValueType) {
                $storedData[$key] = value
            }
            
            // start to implement /Serializable for ObjectType
            if ($eventData['type'] === ObjectType) {
                $storedData[$key] = value->serialize()
            }
            
            ...
        }
        
        ... 
        
        return $storedData;
    }
      
    // this function  make sure we can restore the additional data from original data are not covered in `Storer`
    // The additional data can be other entity, because the entities we defined in Aware interface like `order`, `customer` ... covered be `Storer`
    public function restore(StorableFlow $flow): void
    {
        if (type === entity) {
            // About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this
            $flow->setData($key, $this->load());
        } else {
            $flow->setData($key, $flow->getStore($key));
        }
        ...
    }
}
```

About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this.
About the `ObjectType` data, we enforce all values used in ObjectType implement /Serializable, and serialize the object before store to `$storedData`.

* Flow Builder actions only work with the `StorableFlow` instead of the `FlowEvent`. The `StorableFlow` will restore the data from original events via `Storer`,
  and the Actions can get the data via `getData($key)` from `StorableFlow` instead of `getAvailableData` from original events.

Before, in the flow actions still dependency Aware interfaces:

```php
    public function handle(StorableFlow $event) {
        ...
        $baseEvent = $event->getEvent();
    
        if ($baseEvent instanceof CustomerAware) {
            $customerId= $baseEvent->getCustomerId();
        }
        ...
    }
```
After in the flow actions:
```php
    public function handle(StorableFlow $event) {
        ...
        if ($event->hasStore('customerId') {
            $customerId= $event->getStore('customerId');
        }
        ...
    }
```

* `getAvailableData` must NOT be responsible for the access of the data.
* To create new or restore the `StorableFlow` by on the existing stored data, we need to provider the `FlowFactory`.
```php
class FlowFactory
{    
    ...
    public function create(FlowEventAware $event)
    {
        $storedData = [];
        foreach ($this->storer as $storer) {
            // Storer are responsible to move the corresponding 
            // data from the original event 
            $storer->store($event, $storedData);
        }
        
        return $this->restore($storedData);
    }
  
    public function restore(array $stored = [], array $data = [])
    {
        $flow = new StorableFlow($stored, $data);
      
        foreach ($this->storer as $storer) {
            $storer->restore($flow);
        }
  
        return $flow;
    }
    ...
}
```
But when executing a delayed actions, we won't have a `StorableFlow`, we just have the `$stored` from the previously stored `StorableFlow`,
and based on the `$stored`, we can restore a new `StorableFlow`.

Example in Delay Actions:

```php
// In handler delay actions -> put the actions to `queue`
$stored = json_encode($flow->stored());

$connection->executeStatement('INSERT INTO `swag_delay_action` (store) VALUES (:stored)...', ['stored' => $stored]);
```

```php
// In handler execute delay actions
$stored = 'SELECT store FROM `swag_delay_action` .... ';

$flow = $this->flowFactory->restore(json_decode($stored));
```"
"## Context

We need a different extension mechanism besides the well known plugins, that works in cloud and on-prem environments in the same way.
That's why we envisioned the app system, currently publicly available as a [plugin](https://github.com/shopware/app-system).
We were able to quickly develop the app system, gather feedback and iterate over ideas without being bound to the strict release workflow of the shopware platform.
That was the reason why we started working on the app system as a plugin in the first place.

Now as the app system matured, it is time to integrate the app system back into the platform.
This has the following benefits:
* It sends the signal to partners and potential app manufacturers that the app system is stable
* Partners / app manufacturers can rely on the shopware 6 release cycle and the according upgrade process
* Users don't need to install an extra plugin in order to use apps","## Decision  
## Decision

Integrate the app system directly into the Shopware platform repository (`shopware/platform`), removing its status as a separate plugin.

This integration includes:
- Merging the core functionality of the app system from the `shopware/app-system` plugin into `shopware/platform`
- Maintaining backward compatibility during the transition to ensure existing apps continue to work
- Ensuring the app system follows the standard Shopware 6 release and upgrade processes
- Deprecating and eventually sunsetting the standalone `shopware/app-system` plugin once integration is complete and stable

Rationale:
- Promotes the app system as a first-class, supported feature of Shopware
- Simplifies installation and maintenance for users
- Aligns development and release cycles with the core platform
- Strengthens trust and adoption among partners and developers

The app system will remain environment-agnostic and fully functional in both cloud and on-prem deployments.","## Decision

We will migrate the existing app system from the [plugin](https://github.com/shopware/app-system) into the platform. The app system will be part of the core bundle, analogous to the plugin system.
It will be moved to the `Shopware\Core\Framework\App` namespace."
"## Context
At the moment we have a bunch of different `FlowStorer` implementations. Most of them are used to store scalar values without any restore logic. Each of the Storer class has an own interface which is used to identify if the data of the event should be stored. This leads to much boilerplate code when adding new storer implementations or when plugins want to bypass some for events.","## Decision 
## Decision

Introduce a unified, generic `FlowStorer` interface that abstracts over the storage of scalar event data, decoupling storer implementations from event types. This interface will define minimal contract methods such as `Store(event Event, value interface{})` and `ShouldStore(event Event) bool`, allowing for centralized registration and evaluation of storers.

Replace individual storer interfaces with metadata-based tagging or annotations (e.g., using struct tags or registry entries) to determine applicability to specific events. This enables plugins or core logic to dynamically include or exclude storers based on configuration or context without modifying event definitions.

Additionally, introduce a `FlowStorerRegistry` that manages the lifecycle and ordering of storers, reducing boilerplate and enabling composability. This simplifies extension points for plugins and ensures consistent behavior across storer implementations.","## Decision

We introduce a generic `ScalarValuesAware` interface which can be used to store simple values which should be simply stored and restored one to one:

```php
interface ScalarValuesAware
{
    public const STORE_VALUES = 'scalar_values';
    
    /** @return array<string, scalar|null|array> */
    public function getValues(): array;
}
```

This event can be used in different events which needs a simple storage logic:

```php
class SomeFlowAwareEvent extends Event implements ScalarStoreAware, FlowEventAware
{
    public function __construct(private readonly string $url) { }

    public function getValues(): array
    {
        return ['url' => $this->url];
    }
}
```

To store and restore this data, we provide a simple `FlowStorer` implementation:

```php

class ScalarValuesStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $stored): array
    {
        if (!$event instanceof ScalarValuesAware) return $stored

        $stored[ScalarValuesAware::STORE_VALUES] = $event->getValues();

        return $stored;
    }

    public function restore(StorableFlow $storable): void
    {
        $values = $storable->getStore(ScalarValuesAware::STORE_VALUES);
        foreach ($values as $key => $value) {
            $storable->setData($key, $value);
        }
    }
}
```"
"## Context
The current sw-text-editor in the administration has numerous low-level bugs in basic WYSIWYG features. It is built in a
way that is difficult to maintain and understand. Therefore, we require a new text editor that is easy to maintain, has
a good feature set, is flexible to extend and more stable.","## Decision 
## Decision

Replace the current `sw-text-editor` with a modern, well-maintained WYSIWYG editor framework that offers robust core functionality, clear extensibility APIs, and strong community or commercial support. After evaluation, we will adopt **Tiptap** (a headless, extendable Vue-based editor built on ProseMirror) as the foundation for the new text editor in the administration.

This choice ensures maintainability through clean architecture, enables future feature extensions (e.g., collaborative editing, custom nodes), improves stability, and aligns with our Vue-based tech stack. Custom UI components will be built on top of Tiptap to match the administration’s design language.","## Decision
Building a new text editor from scratch is not a viable option. Therefore, we have evaluated various existing text 
editors and narrowed down our options to the following:

    - CKEditor 5
    - TinyMCE
    - QuillJS
    - Prosemirror
    - TipTap V2
    - Lexical

We have decided to skip CKEditor 5 and TinyMCE because they require a license for our use case and are not 100% open
source. Prosemirror was also ruled out because it provides only a low-level API and requires much more implementation 
time than the other editors. Additionally, Lexical is not a valid option for us since it is specialized for React 
environments and has no official support for VueJS.

The remaining two editors are TipTap V2 and QuillJS. Both have similar feature sets and APIs, but we have found some 
major differences between them. The first difference is that TipTap is a headless editor, which means that it only
provides the editor logic and requires a UI implementation. QuillJS, on the other hand, is a fully featured editor that
provides a UI out of the box. In our case, it is better to use a headless editor like TipTap because we can implement 
the UI to fit our needs, especially for several edge cases that are hard to implement in QuillJS.

The second major difference is in extensibility. TipTap's API is more flexible, allowing us to implement our own
features using the existing TipTap and ProseMirror plugins or build our own plugins. In most cases, the powerful main
TipTap API can already solve most of our use cases. QuillJS, on the other hand, is not as flexible as TipTap, and its
extension system is more complicated to use.

The third big difference is in stability. We found that TipTap is more stable than QuillJS, probably because TipTap is 
built on top of ProseMirror, which is a very stable and well-tested editor. Although QuillJS is also generally stable,
other developers have reported some issues with it in the past.

Our main decision driver was the extensibility of the editor. We want a text editor that is easy to extend and allows us
to implement our own features. TipTap provides a powerful extension system that is easy to use, and we can implement our
design without overwriting an existing design of other editors. Therefore, we have decided to use TipTap as the base of
our new text editor."
"## Context
The current implementation of the salutation in Shopware 6 needs to handle cases where the salutation is not specified by the customer or administrator. To address this requirement and promote inclusivity, we have updated the default salutation to ""not_specified"" for unspecified salutations in our Shopware 6 platform.","## Decision 
## Decision

The default salutation value in Shopware 6 is set to `not_specified` to explicitly represent cases where the customer or administrator has not provided a salutation. This change improves data clarity and supports inclusivity by avoiding assumptions about gender or title. The `not_specified` value must be handled consistently across all contexts—including storefront, admin, emails, and exports—and must not be rendered as visible text in customer-facing interfaces without appropriate localization or fallback behavior.","## Decision
We have modified the existing salutation handling in Shopware 6 to update the default value to ""not_specified"" when the salutation is null. This decision was made based on the following considerations:

* Inclusivity: By offering a default salutation of ""not_specified"" for null values, we promote inclusivity and ensure that all customers are appropriately addressed, even when salutation data is missing.
* Customer Experience: Providing a default salutation ensures consistency in customer communications and prevents any confusion or misinterpretation when a salutation is not explicitly specified.
* Non-Deletable Default Salutation: It has been decided that the ""not_specified"" salutation, being the default value for unspecified salutations, should not be deletable by the shop owner. This ensures that there is always a fallback option available, guaranteeing a consistent experience for customers."
